iter	Passed	Remaining
901	13773	1496
902	13787	1481
903	13802	1465
904	13816	1450
905	13832	1435
906	13848	1419
907	13864	1404
908	13878	1389
909	13894	1374
910	13910	1358
911	13925	1343
912	13940	1328
913	13953	1312
914	13969	1297
915	13983	1282
916	13997	1266
917	14011	1251
918	14028	1236
919	14043	1221
920	14059	1205
921	14075	1190
922	14089	1175
923	14105	1160
924	14119	1144
925	14136	1129
926	14151	1114
927	14166	1099
928	14181	1083
929	14193	1068
930	14209	1053
931	14222	1037
932	14236	1022
933	14252	1007
934	14268	991
935	14283	976
936	14298	961
937	14313	946
938	14326	930
939	14342	915
940	14357	900
941	14373	884
942	14386	869
943	14401	854
944	14415	838
945	14429	823
946	14443	808
947	14457	793
948	14471	777
949	14488	762
950	14504	747
951	14519	732
952	14533	716
953	14547	701
954	14561	686
955	14576	670
956	14592	655
957	14607	640
958	14620	625
959	14639	609
960	14653	594
961	14667	579
962	14681	564
963	14694	548
964	14710	533
965	14726	518
966	14741	503
967	14757	487
968	14775	472
969	14791	457
970	14807	442
971	14822	426
972	14838	411
973	14853	396
974	14867	381
975	14882	365
976	14899	350
977	14926	335
978	14944	320
979	14959	305
980	14973	290
981	14990	274
982	15007	259
983	15024	244
984	15040	229
985	15056	213
986	15072	198
987	15087	183
988	15102	167
989	15118	152
990	15133	137
991	15148	122
992	15163	106
993	15177	91
994	15193	76
995	15210	61
996	15225	45
997	15241	30
998	15257	15
999	15273	0
